LOCALITA',STAZIONE,STATO,SPECIE,PARAMETRO,TIPO DATO,UNITA' DI MISURA,DATA,ANNO,MESE,DATO,LATITUDINE,LONGITUDINE,CHIAVE
Grignano - Trieste,Diga porto,dismessa,,temperatura aria,ambientali,°C,03/07/2009,2009,7,"25,0",45.7051,13.710883333333333,11643999720
Grignano - Trieste,Diga porto,dismessa,,copertura cielo,ambientali,decimi,03/07/2009,2009,7,7,45.7051,13.710883333333333,11643999721
Grignano - Trieste,Diga porto,dismessa,,intensità vento,ambientali,m/s,03/07/2009,2009,7,"0,0",45.7051,13.710883333333333,11643999723
Duino - Aurisina,Diga porto di Duino,dismessa,,temperatura aria,ambientali,°C,03/07/2009,2009,7,"25,2",45.77333333333333,13.598466666666667,11683999720
Duino - Aurisina,Diga porto di Duino,dismessa,,copertura cielo,ambientali,decimi,03/07/2009,2009,7,10,45.77333333333333,13.598466666666667,11683999721
Duino - Aurisina,Diga porto di Duino,dismessa,,intensità vento,ambientali,m/s,03/07/2009,2009,7,"0,00",45.77333333333333,13.598466666666667,11683999723
Grado - Morgo,Spiaggia,dismessa,,temperatura aria,ambientali,°C,03/07/2009,2009,7,"30,8",45.69801666666667,13.32265,11723999720
Grado - Morgo,Spiaggia,dismessa,,copertura cielo,ambientali,decimi,03/07/2009,2009,7,2,45.69801666666667,13.32265,11723999721
Grado - Morgo,Spiaggia,dismessa,,intensità vento,ambientali,m/s,03/07/2009,2009,7,"4,0",45.69801666666667,13.32265,11723999723
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,28/07/2009,2009,7,"28,2",45.60555,13.72195,11614002220
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,28/07/2009,2009,7,1,45.60555,13.72195,11614002221
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,28/07/2009,2009,7,"3,0",45.60555,13.72195,11614002223
Grignano - Trieste,Diga porto,dismessa,,temperatura aria,ambientali,°C,28/07/2009,2009,7,"30,0",45.7051,13.710883333333333,11644002220
Grignano - Trieste,Diga porto,dismessa,,copertura cielo,ambientali,decimi,28/07/2009,2009,7,2,45.7051,13.710883333333333,11644002221
Grignano - Trieste,Diga porto,dismessa,,intensità vento,ambientali,m/s,28/07/2009,2009,7,"0,0",45.7051,13.710883333333333,11644002223
Duino - Aurisina,Diga porto di Duino,dismessa,,temperatura aria,ambientali,°C,28/07/2009,2009,7,"29,0",45.77333333333333,13.598466666666667,11684002220
Duino - Aurisina,Diga porto di Duino,dismessa,,copertura cielo,ambientali,decimi,28/07/2009,2009,7,0,45.77333333333333,13.598466666666667,11684002221
Duino - Aurisina,Diga porto di Duino,dismessa,,intensità vento,ambientali,m/s,28/07/2009,2009,7,"0,0",45.77333333333333,13.598466666666667,11684002223
Grado - Morgo,Spiaggia,dismessa,,temperatura aria,ambientali,°C,28/07/2009,2009,7,"29,0",45.69801666666667,13.32265,11724002220
Grado - Morgo,Spiaggia,dismessa,,copertura cielo,ambientali,decimi,28/07/2009,2009,7,0,45.69801666666667,13.32265,11724002221
Grado - Morgo,Spiaggia,dismessa,,intensità vento,ambientali,m/s,28/07/2009,2009,7,"1,0",45.69801666666667,13.32265,11724002223
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,11/08/2009,2009,8,"25,2",45.60555,13.72195,11614003620
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,11/08/2009,2009,8,8,45.60555,13.72195,11614003621
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,11/08/2009,2009,8,"0,0",45.60555,13.72195,11614003623
Grignano - Trieste,Diga porto,dismessa,,temperatura aria,ambientali,°C,11/08/2009,2009,8,"24,4",45.7051,13.710883333333333,11644003620
Grignano - Trieste,Diga porto,dismessa,,copertura cielo,ambientali,decimi,11/08/2009,2009,8,3,45.7051,13.710883333333333,11644003621
Grignano - Trieste,Diga porto,dismessa,,intensità vento,ambientali,m/s,11/08/2009,2009,8,"0,0",45.7051,13.710883333333333,11644003623
Duino - Aurisina,Diga porto di Duino,dismessa,,temperatura aria,ambientali,°C,11/08/2009,2009,8,"23,0",45.77333333333333,13.598466666666667,11684003620
Duino - Aurisina,Diga porto di Duino,dismessa,,copertura cielo,ambientali,decimi,11/08/2009,2009,8,1,45.77333333333333,13.598466666666667,11684003621
Duino - Aurisina,Diga porto di Duino,dismessa,,intensità vento,ambientali,m/s,11/08/2009,2009,8,"0,0",45.77333333333333,13.598466666666667,11684003623
Grado - Morgo,Spiaggia,dismessa,,temperatura aria,ambientali,°C,11/08/2009,2009,8,"28,0",45.69801666666667,13.32265,11724003620
Grado - Morgo,Spiaggia,dismessa,,copertura cielo,ambientali,decimi,11/08/2009,2009,8,1,45.69801666666667,13.32265,11724003621
Grado - Morgo,Spiaggia,dismessa,,intensità vento,ambientali,m/s,11/08/2009,2009,8,"4,0",45.69801666666667,13.32265,11724003623
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,25/08/2009,2009,8,"26,2",45.60555,13.72195,11614005020
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,25/08/2009,2009,8,0,45.60555,13.72195,11614005021
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,25/08/2009,2009,8,"5,0",45.60555,13.72195,11614005023
Grignano - Trieste,Diga porto,dismessa,,temperatura aria,ambientali,°C,25/08/2009,2009,8,"28,0",45.7051,13.710883333333333,11644005020
Grignano - Trieste,Diga porto,dismessa,,copertura cielo,ambientali,decimi,25/08/2009,2009,8,0,45.7051,13.710883333333333,11644005021
Grignano - Trieste,Diga porto,dismessa,,intensità vento,ambientali,m/s,25/08/2009,2009,8,"4,0",45.7051,13.710883333333333,11644005023
Duino - Aurisina,Diga porto di Duino,dismessa,,temperatura aria,ambientali,°C,25/08/2009,2009,8,"28,8",45.77333333333333,13.598466666666667,11684005020
Duino - Aurisina,Diga porto di Duino,dismessa,,copertura cielo,ambientali,decimi,25/08/2009,2009,8,0,45.77333333333333,13.598466666666667,11684005021
Duino - Aurisina,Diga porto di Duino,dismessa,,intensità vento,ambientali,m/s,25/08/2009,2009,8,"4,0",45.77333333333333,13.598466666666667,11684005023
Grado - Morgo,Spiaggia,dismessa,,temperatura aria,ambientali,°C,25/08/2009,2009,8,"26,0",45.69801666666667,13.32265,11724005020
Grado - Morgo,Spiaggia,dismessa,,copertura cielo,ambientali,decimi,25/08/2009,2009,8,0,45.69801666666667,13.32265,11724005021
Grado - Morgo,Spiaggia,dismessa,,intensità vento,ambientali,m/s,25/08/2009,2009,8,"5,0",45.69801666666667,13.32265,11724005023
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,01/10/2009,2009,10,"26,0",45.749116666666666,13.655783333333334,11664008720
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,01/10/2009,2009,10,0,45.749116666666666,13.655783333333334,11664008721
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,01/10/2009,2009,10,"5,0",45.749116666666666,13.655783333333334,11664008723
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,07/10/2009,2009,10,"26,0",45.749116666666666,13.655783333333334,11664009320
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,07/10/2009,2009,10,0,45.749116666666666,13.655783333333334,11664009321
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,07/10/2009,2009,10,"5,0",45.749116666666666,13.655783333333334,11664009323
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,07/10/2009,2009,10,"26,0",45.76743333333334,13.6308,11674009320
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,07/10/2009,2009,10,0,45.76743333333334,13.6308,11674009321
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,07/10/2009,2009,10,"5,0",45.76743333333334,13.6308,11674009323
S. Bartolomeo - Muggia,Campeggio Polizia,dismessa,,temperatura aria,ambientali,°C,25/05/2010,2010,5,"28,8",45.59665,13.723033333333333,11604032320
S. Bartolomeo - Muggia,Campeggio Polizia,dismessa,,copertura cielo,ambientali,decimi,25/05/2010,2010,5,0,45.59665,13.723033333333333,11604032321
S. Bartolomeo - Muggia,Campeggio Polizia,dismessa,,intensità vento,ambientali,m/s,25/05/2010,2010,5,"4,8",45.59665,13.723033333333333,11604032323
Trieste,"Stabilimento balneare ""Lanterna""",dismessa,,temperatura aria,ambientali,°C,25/05/2010,2010,5,"26,2",45.64816666666667,13.753766666666667,11624032320
Trieste,"Stabilimento balneare ""Lanterna""",dismessa,,copertura cielo,ambientali,decimi,25/05/2010,2010,5,0,45.64816666666667,13.753766666666667,11624032321
Trieste,"Stabilimento balneare ""Lanterna""",dismessa,,intensità vento,ambientali,m/s,25/05/2010,2010,5,"2,5",45.64816666666667,13.753766666666667,11624032323
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,25/05/2010,2010,5,"21,4",45.68695,13.745716666666667,11634032320
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,25/05/2010,2010,5,0,45.68695,13.745716666666667,11634032321
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,25/05/2010,2010,5,"0,5",45.68695,13.745716666666667,11634032323
Filtri - Duino-Aurisina,Diga porticciolo,dismessa,,temperatura aria,ambientali,°C,27/05/2010,2010,5,"26,8",45.74101666666667,13.668983333333333,11654032520
Filtri - Duino-Aurisina,Diga porticciolo,dismessa,,copertura cielo,ambientali,decimi,27/05/2010,2010,5,0,45.74101666666667,13.668983333333333,11654032521
Filtri - Duino-Aurisina,Diga porticciolo,dismessa,,intensità vento,ambientali,m/s,27/05/2010,2010,5,"0,5",45.74101666666667,13.668983333333333,11654032523
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,27/05/2010,2010,5,"21,0",45.749116666666666,13.655783333333334,11664032520
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,27/05/2010,2010,5,0,45.749116666666666,13.655783333333334,11664032521
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,27/05/2010,2010,5,"2,5",45.749116666666666,13.655783333333334,11664032523
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,27/05/2010,2010,5,"29,0",45.76743333333334,13.6308,11674032520
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,27/05/2010,2010,5,0,45.76743333333334,13.6308,11674032521
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,27/05/2010,2010,5,"3,5",45.76743333333334,13.6308,11674032523
Marina Nova - Monfalcone,Spiaggia Camping - Isola Panzano Lido,dismessa,,temperatura aria,ambientali,°C,26/05/2010,2010,5,"20,8",45.78403333333333,13.545166666666667,11694032420
Marina Nova - Monfalcone,Spiaggia Camping - Isola Panzano Lido,dismessa,,copertura cielo,ambientali,decimi,26/05/2010,2010,5,4,45.78403333333333,13.545166666666667,11694032421
Marina Nova - Monfalcone,Spiaggia Camping - Isola Panzano Lido,dismessa,,intensità vento,ambientali,m/s,26/05/2010,2010,5,"5,6",45.78403333333333,13.545166666666667,11694032423
Staranzano - Monfalcone,Spiaggia - Lido di Staranzano,dismessa,,temperatura aria,ambientali,°C,26/05/2010,2010,5,"24,8",45.76586666666667,13.527766666666666,11704032420
Staranzano - Monfalcone,Spiaggia - Lido di Staranzano,dismessa,,copertura cielo,ambientali,decimi,26/05/2010,2010,5,3,45.76586666666667,13.527766666666666,11704032421
Staranzano - Monfalcone,Spiaggia - Lido di Staranzano,dismessa,,intensità vento,ambientali,m/s,26/05/2010,2010,5,"5,0",45.76586666666667,13.527766666666666,11704032423
Grado,Spiaggia - Lido del Carabiniere,dismessa,,temperatura aria,ambientali,°C,26/05/2010,2010,5,"24,8",45.6865,13.4451,11714032420
Grado,Spiaggia - Lido del Carabiniere,dismessa,,copertura cielo,ambientali,decimi,26/05/2010,2010,5,7,45.6865,13.4451,11714032421
Grado,Spiaggia - Lido del Carabiniere,dismessa,,intensità vento,ambientali,m/s,26/05/2010,2010,5,"7,4",45.6865,13.4451,11714032423
Lignano Sabbiadoro,Spiaggia,dismessa,,temperatura aria,ambientali,°C,31/05/2010,2010,5,"18,8",45.66175,13.10955,11734032920
Lignano Sabbiadoro,Spiaggia,dismessa,,copertura cielo,ambientali,decimi,31/05/2010,2010,5,10,45.66175,13.10955,11734032921
Lignano Sabbiadoro,Spiaggia,dismessa,,intensità vento,ambientali,m/s,31/05/2010,2010,5,"10,0",45.66175,13.10955,11734032923
Lignano Sabbiadoro,Spiaggia,dismessa,,altezza onda,ambientali,m,31/05/2010,2010,5,"0,50",45.66175,13.10955,11734032924
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,28/06/2010,2010,6,"29,2",45.60555,13.72195,11614035720
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,28/06/2010,2010,6,1,45.60555,13.72195,11614035721
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,28/06/2010,2010,6,"3,6",45.60555,13.72195,11614035723
Trieste,"Stabilimento balneare ""Lanterna""",dismessa,,temperatura aria,ambientali,°C,28/06/2010,2010,6,"29,0",45.64816666666667,13.753766666666667,11624035720
Trieste,"Stabilimento balneare ""Lanterna""",dismessa,,copertura cielo,ambientali,decimi,28/06/2010,2010,6,0,45.64816666666667,13.753766666666667,11624035721
Trieste,"Stabilimento balneare ""Lanterna""",dismessa,,intensità vento,ambientali,m/s,28/06/2010,2010,6,"2,2",45.64816666666667,13.753766666666667,11624035723
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,28/06/2010,2010,6,"25,2",45.68695,13.745716666666667,11634035720
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,28/06/2010,2010,6,1,45.68695,13.745716666666667,11634035721
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,28/06/2010,2010,6,"2,1",45.68695,13.745716666666667,11634035723
Filtri - Duino-Aurisina,Diga porticciolo,dismessa,,temperatura aria,ambientali,°C,29/06/2010,2010,6,"28,8",45.74101666666667,13.668983333333333,11654035820
Filtri - Duino-Aurisina,Diga porticciolo,dismessa,,copertura cielo,ambientali,decimi,29/06/2010,2010,6,1,45.74101666666667,13.668983333333333,11654035821
Filtri - Duino-Aurisina,Diga porticciolo,dismessa,,intensità vento,ambientali,m/s,29/06/2010,2010,6,"0,0",45.74101666666667,13.668983333333333,11654035823
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,29/06/2010,2010,6,"28,8",45.749116666666666,13.655783333333334,11664035820
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,29/06/2010,2010,6,2,45.749116666666666,13.655783333333334,11664035821
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,29/06/2010,2010,6,"0,0",45.749116666666666,13.655783333333334,11664035823
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,29/06/2010,2010,6,"25,2",45.76743333333334,13.6308,11674035820
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,29/06/2010,2010,6,8,45.76743333333334,13.6308,11674035821
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,29/06/2010,2010,6,"0,0",45.76743333333334,13.6308,11674035823
Marina Nova - Monfalcone,Spiaggia Camping - Isola Panzano Lido,dismessa,,temperatura aria,ambientali,°C,29/06/2010,2010,6,"31,6",45.78403333333333,13.545166666666667,11694035820
Marina Nova - Monfalcone,Spiaggia Camping - Isola Panzano Lido,dismessa,,copertura cielo,ambientali,decimi,29/06/2010,2010,6,3,45.78403333333333,13.545166666666667,11694035821
Marina Nova - Monfalcone,Spiaggia Camping - Isola Panzano Lido,dismessa,,intensità vento,ambientali,m/s,29/06/2010,2010,6,"4,0",45.78403333333333,13.545166666666667,11694035823
Staranzano - Monfalcone,Spiaggia - Lido di Staranzano,dismessa,,temperatura aria,ambientali,°C,30/06/2010,2010,6,"33,0",45.76586666666667,13.527766666666666,11704035920
Staranzano - Monfalcone,Spiaggia - Lido di Staranzano,dismessa,,copertura cielo,ambientali,decimi,30/06/2010,2010,6,1,45.76586666666667,13.527766666666666,11704035921
Staranzano - Monfalcone,Spiaggia - Lido di Staranzano,dismessa,,intensità vento,ambientali,m/s,30/06/2010,2010,6,"3,6",45.76586666666667,13.527766666666666,11704035923
Grado,Spiaggia - Lido del Carabiniere,dismessa,,temperatura aria,ambientali,°C,30/06/2010,2010,6,"33,0",45.6865,13.4451,11714035920
Grado,Spiaggia - Lido del Carabiniere,dismessa,,copertura cielo,ambientali,decimi,30/06/2010,2010,6,1,45.6865,13.4451,11714035921
Grado,Spiaggia - Lido del Carabiniere,dismessa,,intensità vento,ambientali,m/s,30/06/2010,2010,6,"5,0",45.6865,13.4451,11714035923
Lignano Sabbiadoro,Spiaggia,dismessa,,temperatura aria,ambientali,°C,30/06/2010,2010,6,"29,2",45.66175,13.10955,11734035920
Lignano Sabbiadoro,Spiaggia,dismessa,,copertura cielo,ambientali,decimi,30/06/2010,2010,6,2,45.66175,13.10955,11734035921
Lignano Sabbiadoro,Spiaggia,dismessa,,intensità vento,ambientali,m/s,30/06/2010,2010,6,"1,9",45.66175,13.10955,11734035923
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,20/07/2010,2010,7,"28,8",45.60555,13.72195,11614037920
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,20/07/2010,2010,7,3,45.60555,13.72195,11614037921
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,20/07/2010,2010,7,"2,8",45.60555,13.72195,11614037923
Trieste,"Stabilimento balneare ""Lanterna""",dismessa,,temperatura aria,ambientali,°C,20/07/2010,2010,7,"30,8",45.64816666666667,13.753766666666667,11624037920
Trieste,"Stabilimento balneare ""Lanterna""",dismessa,,copertura cielo,ambientali,decimi,20/07/2010,2010,7,"0,5",45.64816666666667,13.753766666666667,11624037921
Trieste,"Stabilimento balneare ""Lanterna""",dismessa,,intensità vento,ambientali,m/s,20/07/2010,2010,7,"2,8",45.64816666666667,13.753766666666667,11624037923
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,20/07/2010,2010,7,"28,0",45.68695,13.745716666666667,11634037920
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,20/07/2010,2010,7,"0,5",45.68695,13.745716666666667,11634037921
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,20/07/2010,2010,7,"2,6",45.68695,13.745716666666667,11634037923
Filtri - Duino-Aurisina,Diga porticciolo,dismessa,,temperatura aria,ambientali,°C,21/07/2010,2010,7,"27,2",45.74101666666667,13.668983333333333,11654038020
Filtri - Duino-Aurisina,Diga porticciolo,dismessa,,copertura cielo,ambientali,decimi,21/07/2010,2010,7,0,45.74101666666667,13.668983333333333,11654038021
Filtri - Duino-Aurisina,Diga porticciolo,dismessa,,intensità vento,ambientali,m/s,21/07/2010,2010,7,"0,0",45.74101666666667,13.668983333333333,11654038023
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,21/07/2010,2010,7,"30,6",45.749116666666666,13.655783333333334,11664038020
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,21/07/2010,2010,7,0,45.749116666666666,13.655783333333334,11664038021
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,21/07/2010,2010,7,"0,0",45.749116666666666,13.655783333333334,11664038023
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,21/07/2010,2010,7,29,45.76743333333334,13.6308,11674038020
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,21/07/2010,2010,7,"0,5",45.76743333333334,13.6308,11674038021
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,21/07/2010,2010,7,"0,07",45.76743333333334,13.6308,11674038023
Marina Nova - Monfalcone,Spiaggia Camping - Isola Panzano Lido,dismessa,,temperatura aria,ambientali,°C,21/07/2010,2010,7,33,45.78403333333333,13.545166666666667,11694038020
Marina Nova - Monfalcone,Spiaggia Camping - Isola Panzano Lido,dismessa,,copertura cielo,ambientali,decimi,21/07/2010,2010,7,1,45.78403333333333,13.545166666666667,11694038021
Marina Nova - Monfalcone,Spiaggia Camping - Isola Panzano Lido,dismessa,,intensità vento,ambientali,m/s,21/07/2010,2010,7,"2,8",45.78403333333333,13.545166666666667,11694038023
Staranzano - Monfalcone,Spiaggia - Lido di Staranzano,dismessa,,temperatura aria,ambientali,°C,22/07/2010,2010,7,"31,4",45.76586666666667,13.527766666666666,11704038120
Staranzano - Monfalcone,Spiaggia - Lido di Staranzano,dismessa,,copertura cielo,ambientali,decimi,22/07/2010,2010,7,"0,5",45.76586666666667,13.527766666666666,11704038121
Staranzano - Monfalcone,Spiaggia - Lido di Staranzano,dismessa,,intensità vento,ambientali,m/s,22/07/2010,2010,7,"2,2",45.76586666666667,13.527766666666666,11704038123
Grado,Spiaggia - Lido del Carabiniere,dismessa,,temperatura aria,ambientali,°C,22/07/2010,2010,7,"30,2",45.6865,13.4451,11714038120
Grado,Spiaggia - Lido del Carabiniere,dismessa,,copertura cielo,ambientali,decimi,22/07/2010,2010,7,0,45.6865,13.4451,11714038121
Grado,Spiaggia - Lido del Carabiniere,dismessa,,intensità vento,ambientali,m/s,22/07/2010,2010,7,"2,1",45.6865,13.4451,11714038123
Lignano Sabbiadoro,Spiaggia,dismessa,,temperatura aria,ambientali,°C,22/07/2010,2010,7,"28,4",45.66175,13.10955,11734038120
Lignano Sabbiadoro,Spiaggia,dismessa,,copertura cielo,ambientali,decimi,22/07/2010,2010,7,0,45.66175,13.10955,11734038121
Lignano Sabbiadoro,Spiaggia,dismessa,,intensità vento,ambientali,m/s,22/07/2010,2010,7,1,45.66175,13.10955,11734038123
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,17/08/2010,2010,8,"28,2",45.60555,13.72195,11614040720
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,17/08/2010,2010,8,4,45.60555,13.72195,11614040721
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,17/08/2010,2010,8,"4,5",45.60555,13.72195,11614040723
Trieste,"Stabilimento balneare ""Lanterna""",dismessa,,temperatura aria,ambientali,°C,17/08/2010,2010,8,"25,8",45.64816666666667,13.753766666666667,11624040720
